sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,position,label,cluster_description
202652.0,https://sofifa.com/player/202652/raheem-sterling/200002,R. Sterling,Raheem Shaquille Sterling,24.0,1994-12-08,170.0,69.0,England,Manchester City,English Premier League,1.0,88.0,90.0,73000000.0,250000.0,"RW, LW",Right,3.0,3.0,4.0,High/Medium,Lean,Yes,140500000.0,"#Speedster, #Dribbler, #Acrobat",LW,7.0,,2015-07-14,2023.0,LW,10.0,93.0,79.0,78.0,89.0,45.0,57.0,,,,,,,"Flair, Speed Dribbler (AI)",78.0,83.0,38.0,84.0,67.0,89.0,75.0,63.0,69.0,88.0,96.0,91.0,94.0,89.0,94.0,76.0,57.0,79.0,54.0,77.0,38.0,30.0,91.0,79.0,69.0,79.0,,53.0,47.0,15.0,12.0,12.0,15.0,9.0,79+4,79+4,79+4,87+1,86+1,86+1,86+1,87+1,86+4,86+4,86+4,85+4,78+4,78+4,78+4,85+4,69+4,63+4,63+4,63+4,69+4,65+4,52+4,52+4,52+4,65+4,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
179813.0,https://sofifa.com/player/179813/edinson-cavani/200002,E. Cavani,Edinson Roberto Cavani Gómez,32.0,1987-02-14,185.0,77.0,Uruguay,Paris Saint-Germain,French Ligue 1,1.0,88.0,88.0,47000000.0,190000.0,ST,Right,4.0,4.0,3.0,High/High,Lean,Yes,87000000.0,#Engine,ST,9.0,,2013-07-16,2020.0,,,75.0,86.0,72.0,79.0,55.0,83.0,,,,,,,Power Header,70.0,88.0,89.0,78.0,90.0,79.0,77.0,76.0,52.0,81.0,74.0,76.0,74.0,91.0,59.0,88.0,88.0,91.0,79.0,79.0,84.0,54.0,93.0,77.0,85.0,80.0,,48.0,39.0,12.0,5.0,13.0,13.0,10.0,85+3,85+3,85+3,81+0,83+0,83+0,83+0,81+0,80+3,80+3,80+3,79+3,75+3,75+3,75+3,79+3,68+3,67+3,67+3,67+3,68+3,66+3,66+3,66+3,66+3,66+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
208722.0,https://sofifa.com/player/208722/sadio-mane/200002,S. Mané,Sadio Mané,27.0,1992-04-10,175.0,69.0,Senegal,Liverpool,English Premier League,1.0,88.0,88.0,62000000.0,225000.0,"LW, LM",Right,3.0,4.0,4.0,High/Medium,Normal,Yes,114700000.0,"#Speedster, #Dribbler, #Acrobat",LW,10.0,,2016-07-01,2023.0,,,94.0,83.0,77.0,89.0,44.0,74.0,,,,,,,"Flair, Speed Dribbler (AI)",74.0,87.0,81.0,81.0,75.0,89.0,76.0,64.0,71.0,87.0,95.0,93.0,92.0,90.0,86.0,84.0,86.0,85.0,67.0,77.0,75.0,35.0,90.0,83.0,71.0,84.0,,42.0,38.0,10.0,10.0,15.0,7.0,14.0,86+2,86+2,86+2,87+1,87+1,87+1,87+1,87+1,86+2,86+2,86+2,86+2,79+4,79+4,79+4,86+2,67+4,64+4,64+4,64+4,67+4,64+4,58+4,58+4,58+4,64+4,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
218667.0,https://sofifa.com/player/218667/bernardo-mota-carvalho-e-silva/200002,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24.0,1994-08-10,173.0,64.0,Portugal,Manchester City,English Premier League,1.0,87.0,90.0,64000000.0,200000.0,"RW, CAM, CM",Left,2.0,3.0,4.0,High/High,Lean,Yes,123200000.0,"#Dribbler, #Engine, #Acrobat",RW,20.0,,2017-07-01,2024.0,CAM,10.0,81.0,76.0,83.0,92.0,51.0,67.0,,,,,,,"Flair, Playmaker (AI), Technical Dribbler (AI)",85.0,78.0,51.0,86.0,69.0,92.0,84.0,67.0,74.0,92.0,85.0,78.0,94.0,85.0,92.0,74.0,51.0,93.0,54.0,75.0,69.0,49.0,85.0,85.0,68.0,87.0,,59.0,40.0,9.0,10.0,14.0,12.0,9.0,78+3,78+3,78+3,86+1,84+1,84+1,84+1,86+1,86+3,86+3,86+3,86+3,82+3,82+3,82+3,86+3,72+3,70+3,70+3,70+3,72+3,68+3,58+3,58+3,58+3,68+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
165153.0,https://sofifa.com/player/165153/karim-benzema/200002,K. Benzema,Karim Benzema,31.0,1987-12-19,185.0,81.0,France,Real Madrid,Spain Primera Division,1.0,87.0,87.0,45000000.0,275000.0,"CF, ST",Right,4.0,4.0,4.0,Medium/Low,Normal,Yes,92300000.0,,CF,9.0,,2009-07-09,2021.0,,,76.0,82.0,80.0,86.0,39.0,77.0,,,,,,,"Playmaker (AI), Outside Foot Shot, Team Player",75.0,84.0,83.0,85.0,83.0,86.0,81.0,73.0,72.0,90.0,78.0,74.0,78.0,85.0,69.0,82.0,77.0,79.0,80.0,76.0,65.0,39.0,88.0,86.0,82.0,87.0,,24.0,18.0,13.0,11.0,5.0,5.0,7.0,84+3,84+3,84+3,83+3,85+2,85+2,85+2,83+3,84+3,84+3,84+3,83+4,78+6,78+6,78+6,83+4,62+6,62+6,62+6,62+6,62+6,58+6,54+6,54+6,54+6,58+6,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
198219.0,https://sofifa.com/player/198219/lorenzo-insigne/200002,L. Insigne,Lorenzo Insigne,28.0,1991-06-04,163.0,59.0,Italy,Napoli,Italian Serie A,1.0,87.0,87.0,52000000.0,140000.0,"CF, LW, ST",Right,3.0,4.0,4.0,High/Medium,Normal,Yes,88400000.0,"#Dribbler, #Crosser, #Acrobat",LS,24.0,,2010-07-01,2022.0,LW,10.0,89.0,79.0,85.0,91.0,35.0,47.0,,,,,,,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI)",86.0,77.0,59.0,87.0,74.0,90.0,87.0,77.0,78.0,93.0,94.0,85.0,94.0,84.0,93.0,79.0,52.0,72.0,40.0,85.0,34.0,26.0,85.0,89.0,68.0,83.0,,24.0,22.0,8.0,4.0,14.0,9.0,10.0,79+4,79+4,79+4,87+0,86+1,86+1,86+1,87+0,87+0,87+0,87+0,86+1,79+4,79+4,79+4,86+1,64+4,58+4,58+4,58+4,64+4,59+4,44+4,44+4,44+4,59+4,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
201942.0,https://sofifa.com/player/201942/roberto-firmino-barbosa-de-oliveira/200002,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27.0,1991-10-02,181.0,76.0,Brazil,Liverpool,English Premier League,1.0,86.0,87.0,52000000.0,170000.0,"CF, ST, CAM",Right,3.0,4.0,4.0,High/High,Lean,Yes,100100000.0,"#Dribbler, #Playmaker, #Engine, #Complete Midfielder",CF,9.0,,2015-07-06,2023.0,,,77.0,82.0,80.0,87.0,61.0,78.0,,,,,,,"Flair, Playmaker (AI), Chip Shot (AI), Technical Dribbler (AI)",72.0,85.0,78.0,86.0,81.0,88.0,80.0,65.0,76.0,88.0,78.0,77.0,80.0,86.0,81.0,81.0,81.0,88.0,74.0,76.0,73.0,58.0,87.0,86.0,72.0,88.0,,64.0,42.0,8.0,11.0,9.0,6.0,10.0,83+4,83+4,83+4,84+1,85+1,85+1,85+1,84+1,85+2,85+2,85+2,84+3,82+4,82+4,82+4,84+3,72+4,73+4,73+4,73+4,72+4,70+4,67+4,67+4,67+4,70+4,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
183898.0,https://sofifa.com/player/183898/angel-di-maria/200002,A. Di María,Ángel Fabián Di María Hernández,31.0,1988-02-14,180.0,69.0,Argentina,Paris Saint-Germain,French Ligue 1,1.0,86.0,86.0,39000000.0,150000.0,"RW, LW",Left,4.0,2.0,5.0,High/Medium,Lean,Yes,72200000.0,"#Dribbler, #Crosser, #FK Specialist, #Acrobat",LW,11.0,,2015-08-06,2021.0,RM,11.0,84.0,79.0,84.0,87.0,48.0,68.0,,,,,,,"Flair, Long Shot Taker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",86.0,76.0,51.0,83.0,77.0,87.0,88.0,88.0,80.0,86.0,85.0,84.0,94.0,82.0,77.0,83.0,72.0,78.0,60.0,84.0,73.0,42.0,84.0,86.0,73.0,84.0,,55.0,52.0,10.0,7.0,11.0,12.0,11.0,78+6,78+6,78+6,84+2,83+3,83+3,83+3,84+2,84+2,84+2,84+2,84+2,80+6,80+6,80+6,84+2,70+6,67+6,67+6,67+6,70+6,66+6,57+6,57+6,57+6,66+6,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
192387.0,https://sofifa.com/player/192387/ciro-immobile/200002,C. Immobile,Ciro Immobile,29.0,1990-02-20,185.0,85.0,Italy,Lazio,Italian Serie A,1.0,86.0,86.0,44500000.0,100000.0,ST,Right,3.0,4.0,3.0,High/Medium,Normal,Yes,75700000.0,#Clinical Finisher,ST,17.0,,2016-07-27,2023.0,ST,17.0,80.0,85.0,63.0,81.0,39.0,76.0,,,,,,,Outside Foot Shot,55.0,87.0,81.0,74.0,85.0,83.0,70.0,51.0,49.0,83.0,76.0,83.0,75.0,87.0,63.0,86.0,77.0,79.0,73.0,80.0,77.0,40.0,91.0,65.0,78.0,81.0,,33.0,32.0,6.0,8.0,15.0,12.0,6.0,84+2,84+2,84+2,79+0,82+0,82+0,82+0,79+0,78+3,78+3,78+3,77+3,71+3,71+3,71+3,77+3,60+3,58+3,58+3,58+3,60+3,58+3,55+3,55+3,55+3,58+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
193301.0,https://sofifa.com/player/193301/alexandre-lacazette/200002,A. Lacazette,Alexandre Lacazette,28.0,1991-05-28,175.0,73.0,France,Arsenal,English Premier League,1.0,86.0,86.0,46000000.0,160000.0,ST,Right,3.0,4.0,4.0,High/High,Normal,Yes,87400000.0,#Dribbler,ST,9.0,,2017-07-05,2022.0,,,82.0,85.0,75.0,86.0,40.0,74.0,,,,,,,"Flair, Outside Foot Shot, Technical Dribbler (AI)",68.0,87.0,74.0,81.0,82.0,86.0,74.0,74.0,69.0,86.0,82.0,82.0,85.0,86.0,85.0,86.0,76.0,79.0,73.0,78.0,72.0,42.0,87.0,78.0,84.0,86.0,,42.0,30.0,11.0,6.0,9.0,5.0,6.0,84+2,84+2,84+2,83+0,84+0,84+0,84+0,83+0,83+3,83+3,83+3,82+3,77+3,77+3,77+3,82+3,63+3,62+3,62+3,62+3,63+3,60+3,55+3,55+3,55+3,60+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
192505.0,https://sofifa.com/player/192505/romelu-lukaku/200002,R. Lukaku,Romelu Lukaku Menama,26.0,1993-05-13,190.0,94.0,Belgium,Inter,Italian Serie A,1.0,85.0,86.0,46000000.0,110000.0,ST,Left,3.0,4.0,3.0,Medium/Medium,Stocky,Yes,81700000.0,#Strength,LS,9.0,,2019-08-08,2024.0,ST,9.0,75.0,82.0,73.0,72.0,35.0,84.0,,,,,,,"Speed Dribbler (AI), Power Header",72.0,84.0,85.0,75.0,77.0,78.0,78.0,66.0,71.0,70.0,64.0,84.0,55.0,84.0,46.0,87.0,71.0,75.0,95.0,74.0,71.0,27.0,86.0,73.0,78.0,81.0,,30.0,30.0,8.0,15.0,14.0,7.0,10.0,82+3,82+3,82+3,76+0,78+0,78+0,78+0,76+0,76+3,76+3,76+3,76+3,71+3,71+3,71+3,76+3,58+3,57+3,57+3,57+3,58+3,55+3,53+3,53+3,53+3,55+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
208670.0,https://sofifa.com/player/208670/hakim-ziyech/200002,H. Ziyech,Hakim Ziyech,26.0,1993-03-19,181.0,65.0,Morocco,Ajax,Holland Eredivisie,1.0,85.0,86.0,45000000.0,40000.0,"CAM, RW",Left,3.0,2.0,4.0,High/Medium,Lean,Yes,66400000.0,"#Playmaker, #Acrobat",RAM,22.0,,2016-08-30,2022.0,,,80.0,75.0,86.0,83.0,50.0,66.0,,,,,,,"Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",84.0,73.0,53.0,86.0,74.0,83.0,90.0,78.0,89.0,83.0,83.0,77.0,86.0,84.0,78.0,80.0,37.0,84.0,58.0,77.0,73.0,52.0,82.0,89.0,67.0,77.0,,56.0,40.0,11.0,7.0,11.0,8.0,14.0,76+3,76+3,76+3,82+0,81+0,81+0,81+0,82+0,83+3,83+3,83+3,83+3,82+3,82+3,82+3,83+3,70+3,70+3,70+3,70+3,70+3,66+3,57+3,57+3,57+3,66+3,striker,2.0,Top class striker / Very high skills / Finisher / High potential / Small but still quite powerful and fast
